자치구코드,자치구,5개년평균
11110,종로구,148631.52631578947
11140,중구,123135.1052631579
11170,용산구,226119.36842105264
11200,성동구,295746.05263157893
11215,광진구,347659.8947368421
11230,동대문구,338433.15789473685
11260,중랑구,395967.5789473684
11290,성북구,428334.5789473684
11305,강북구,313156.8947368421
11320,도봉구,331842.94736842107
11350,노원구,535525.7894736842
11380,은평구,474577.3157894737
11410,서대문구,307717.94736842107
11440,마포구,356970.15789473685
11470,양천구,457149.05263157893
11500,강서구,585962.7894736842
11530,구로구,402254.63157894736
11545,금천구,229218.26315789475
11560,영등포구,367139.3157894737
11590,동작구,390846.15789473685
11620,관악구,495869.8947368421
11650,서초구,420550.84210526315
11680,강남구,536668.7368421053
11710,송파구,660434.1052631579
11740,강동구,432868.63157894736
